Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-0.550394,3.365893,-90.000000,bottom
"C1","10uf","C_0805_2012Metric",-3.965394,0.915197,-90.000000,bottom
"C7","C_0805_1uf","C_0805_2012Metric",-2.470394,1.395197,-90.000000,bottom
"C8","C_0805_1uf","C_0805_2012Metric",-1.090394,1.442126,-90.000000,bottom
"C9","C_0805_0.1uf","C_0805_2012Metric",-2.480394,1.692126,90.000000,bottom
"C10","C_0805_0.1uf","C_0805_2012Metric",-1.090394,1.675197,90.000000,bottom
"C11","100n","C_0805_2012Metric",-4.035394,1.193661,0.000000,bottom
"J1","Power_inlet_vertical","Wurth-694106402002",-4.755394,0.608661,180.000000,bottom
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-4.200394,1.703661,180.000000,bottom
"R4","R_0805_10K","R_0805_2012Metric",-1.870394,1.748661,-90.000000,bottom
"R5","R_0805_10K","R_0805_2012Metric",-0.490394,1.752126,-90.000000,bottom
"R6","R_0805_22K","R_0805_2012Metric",-2.370394,1.313661,90.000000,bottom
"R7","R_0805_4.7K","R_0805_2012Metric",-2.370394,1.452126,90.000000,bottom
"R8","R_0805_22K","R_0805_2012Metric",-0.980394,1.308661,90.000000,bottom
"R9","R_0805_4.7K","R_0805_2012Metric",-0.980394,1.445197,90.000000,bottom
"R10","R_0805_200","R_0805_2012Metric",-4.430394,0.898661,180.000000,bottom
"R11","R_0805_1K","R_0805_2012Metric",-3.845394,3.138661,0.000000,bottom
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",-4.158976,0.841181,-90.000000,bottom
"C2","C_0805_1uf","C_0805_2012Metric",5.000394,0.498661,-90.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",3.980394,0.348661,-90.000000,top
"C4","C_0805_0.1uf","C_0805_2012Metric",3.665394,0.153661,0.000000,top
"C5","22p","C_0805_2012Metric",3.200394,1.158661,90.000000,top
"C6","22p","C_0805_2012Metric",3.220394,0.458661,-90.000000,top
"D1","KWM-30881CVB","KWM-30881CVB",2.450394,0.798661,0.000000,top
"D2","KWM-30881CVB","KWM-30881CVB",1.047953,0.798661,0.000000,top
"DS1","TC1602A-01T","TC1602A-01T",2.290551,3.313287,0.000000,top
"R1","10KΩ","R_0805_2012Metric",3.410394,1.163661,0.000000,top
"R2","R_0805_200","R_0805_2012Metric",4.581929,1.498661,0.000000,top
"R3","R_0805_200","R_0805_2012Metric",4.610394,1.618661,180.000000,top
"R12","R_0805_2.2K","R_0805_2012Metric",1.525394,2.095197,90.000000,top
"R13","R_0805_2.2K","R_0805_2012Metric",1.585394,2.650197,-90.000000,top
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",1.620394,3.068661,0.000000,top
"SW1","RotaryEncoder_Switch","RotaryEncoder_TT_EN11-Switch_Vertical_H20mm_CircularMountingHoles",4.764961,1.697087,0.000000,top
"U2","ATmega328-PU","DIP-28_W7.62mm",3.560787,1.678268,0.000000,top
"U3","L7805_TO92","TO-92_Inline",4.100394,0.508661,0.000000,top
"U4","DS1307_DIP-8","DIP-8_W7.62mm",1.120394,2.238661,90.000000,top
"U5","MAX7219","DIP-24_W7.62mm",2.970591,1.858268,-90.000000,top
"U6","MAX7219","DIP-24_W7.62mm",1.590394,1.858661,-90.000000,top
"Y1","Crystal 16MHZ","Crystal_SMD_HC49-SD",3.220394,0.808661,-90.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",1.170000,2.098268,0.000000,top
